Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,29.58,29.905,29.91,29.848,29.772,29.692,29.625,29.555,29.486,Selling,30.25,30.055,30.014,29.958,29.893,29.822,29.765,29.705,29.644
Buying,3.664,3.785,3.789,3.789,3.788,3.787,3.783,3.779,3.775,Selling,3.868,3.855,3.85,3.853,3.852,3.852,3.849,3.846,3.843
Buying,38.72,39.615,39.651,39.574,39.477,39.4,39.315,39.23,39.145,Selling,40.84,40.245,40.07,40.031,39.943,39.871,39.799,39.727,39.655
Buying,19.1,19.315,19.344,19.312,19.27,19.24,19.207,19.175,19.141,Selling,19.88,19.66,19.551,19.534,19.497,19.467,19.439,19.412,19.385
Buying,21.3,21.63,21.668,21.644,21.616,21.602,21.581,21.56,21.539,Selling,22.21,21.96,21.878,21.874,21.85,21.839,21.824,21.809,21.795
Buying,22.73,23.2,23.203,23.188,23.18,23.18,23.177,23.173,23.17,Selling,23.64,23.42,23.395,23.404,23.4,23.401,23.404,23.407,23.411
Buying,36.35,36.96,36.967,36.98,37.022,37.077,37.127,37.177,37.228,Selling,37.55,37.35,37.237,37.291,37.341,37.397,37.458,37.519,37.58
Buying,0.1939,0.2007,0.2012,0.2013,0.2015,0.2017,0.2018,0.202,0.2021,Selling,0.2067,0.2057,0.2053,0.2055,0.2057,0.206,0.2062,0.2065,0.2068
Buying,0.0,1.637,1.635,1.629,1.621,1.614,1.606,1.598,1.591,Selling,0.0,1.727,1.716,1.711,1.704,1.697,1.689,1.682,1.675
Buying,0.0,3.06,3.059,3.056,3.054,3.053,3.052,3.051,3.049,Selling,0.0,3.18,3.16,3.161,3.159,3.159,3.158,3.158,3.158
Buying,17.3,17.63,17.647,17.62,17.592,17.572,17.549,17.525,17.502,Selling,18.15,17.93,17.857,17.85,17.826,17.807,17.788,17.77,17.751
Buying,0.798,0.9084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.988,0.9544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,33.99,34.505,34.511,34.493,34.473,34.455,34.436,34.417,34.385,Selling,35.33,35.105,34.918,34.915,34.9,34.887,34.88,34.874,34.867
Buying,0.01986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.074,4.141,4.1414,4.1402,4.1399,4.1387,4.1374,4.1357,4.1348,Selling,4.236,4.201,4.1922,4.1925,4.1924,4.1916,4.1916,4.1917,4.1918
